MentalHealthDescription,MentalHealthNow,Anxiety,ControlWorrying,WorryingTooMuch,TrobleRelaxing,HardToSitStill,EasilyAnnoyed,Afraid,Stress,ShoppingToDrugStore,DeliveryServiceForGroceryOrDrug,FoodDelivery,ImpactsOnHealth,Household,Vunerable,CanadaPopHealth,WorldPopHealth,Overloading,CivilDisorder,MaintainingSocials,SuportAfterCrisis,SupportDuringCrisis,StressFromConfinement,Gender,CanadianCitizen,Age,Born,VERDATE
Good,Somewhat worse now,Several Days,Several days,Several days,More than half the days,Not at all,More than half the days,Several days,A bit stressful,Zero times,Zero Times,1 to 3 times,Not at all,Somewhat,Very,Very,Extremely,Very,Not at all,Somewhat,Very,Very,Somewhat,Female,"Yes, Canadian citizen by naturalization",8,Born in Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian citizen",1,Born in Canada,JULY
Very Good,Somewhat worse now,Several Days,Several days,Several days,Nearly every day,More than half the days,More than half the days,Several days,Not very stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Very,Female,"No, not Canadian citizen",11,Born outside Canada,JULY
Very Good,Somewhat better now,Several Days,Several days,More than half the days,Several days,Several days,Several days,Several days,A bit stressful,Zero times,Zero Times,1 to 3 times,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,"No, not Canadian citizen",8,Born in Canada,JULY
Fair,Somewhat worse now,Nearly every day,Several days,Several days,Several days,Not at all,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,1 to 3 times,Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Very,Somewhat,Somewhat,Not at all,Female,"Yes, Canadian by birth",8,Born in Canada,JULY
Excellent,About the same,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Very,Not at all,Extremely,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Somewhat,Male,"Yes, Canadian citizen",4,Born in Canada,JULY
Very Good,About the same,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not very stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Male,"No, not Canadian citizen",0,Born in Canada,JULY
Fair,Somewhat worse now,Several Days,Not at all,Not at all,Several days,Several days,Several days,Several days,A bit stressful,Zero times,1 to 3 times,1 to 3 times,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Female,"Yes, Canadian by birth",5,Born in Canada,JULY
Fair,Somewhat worse now,More than half the days,Several days,More than half the days,More than half the days,Several days,Nearly every day,More than half the days,Quite a bit stressful,Zero times,1 to 3 times,Zero Times,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Female,"Yes, Canadian by birth",13,Born outside Canada,JULY
Good,Somewhat worse now,Several Days,Not at all,Several days,Several days,Not at all,Several days,Not at all,A bit stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,"Yes, Canadian citizen by naturalization",4,Born in Canada,JULY
Very Good,About the same,Several Days,Several days,Not at all,Several days,Several days,Several days,Several days,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Male,"No, not Canadian citizen",6,Born in Canada,JULY
Fair,Somewhat worse now,Nearly every day,Nearly every day,More than half the days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,A bit stressful,Daily or more to 3 times,Zero Times,Daily or more,Extremely,Not at all,Extremely,Very,Very,Very,Not at all,Very,Extremely,Extremely,Not at all,Male,"Yes, Canadian by birth",20,Born outside Canada,JULY
Very Good,About the same,Several Days,Not at all,Not at all,Several days,Not at all,More than half the days,Not at all,Quite a bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Very,Extremely,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Female,"No, not Canadian citizen",4,Born in Canada,JULY
Excellent,Somewhat better now,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Female,"Yes, Canadian citizen",1,Born in Canada,JULY
Fair,Somewhat worse now,More than half the days,Several days,Several days,Several days,Several days,Several days,Not at all,Extremely stressful,Daily or more to 3 times,1 to 3 times,1 to 3 times,Somewhat,Very,Extremely,Very,Very,Very,Extremely,Extremely,Extremely,Very,Very,Female,"Yes, Canadian by birth",7,Born in Canada,JULY
Good,Somewhat worse now,Several Days,Several days,Several days,Several days,Not at all,Several days,Not at all,A bit stressful,Zero times,Zero Times,Zero Times,Extremely,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,"Yes, Canadian citizen by naturalization",5,Born in Canada,JULY
Good,About the same,Several Days,Several days,Several days,More than half the days,More than half the days,Several days,Not at all,A bit stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Very,Not at all,Very,Not at all,Very,Extremely,Somewhat,Somewhat,Somewhat,Male,"Yes, Canadian citizen by naturalization",8,Born in Canada,JULY
Good,Somewhat worse now,Not at all,Not at all,More than half the days,Not at all,Not at all,More than half the days,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Very,Male,"Yes, Canadian citizen by naturalization",4,Born in Canada,JULY
Very Good,About the same,Several Days,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,A bit stressful,Zero times,Zero Times,Zero Times,Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Very,Somewhat,Very,Male,"No, not Canadian citizen",5,Born in Canada,JULY
Very Good,About the same,Several Days,Not at all,Several days,Several days,Not at all,Not at all,Not at all,A bit stressful,Daily or more to 3 times,Zero Times,Zero Times,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,"No, not Canadian citizen",3,Born in Canada,JULY
