"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,AB,DEC
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Very,Not at all,Male,Neither agree nor disagree,Too soon to tell,ON,DEC
Somewhat,Extremely,Very,Very,Very,Very,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Female,Strongly agree,Moderate impact,ON,DEC
Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Male,Strongly agree,Moderate impact,BC,DEC
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Extremely,Not at all,Male,Strongly agree,Major impact,ON,DEC
Somewhat,Somewhat,Extremely,Very,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly agree,Moderate impact,AB,DEC
Somewhat,Not at all,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Not at all,Male,Disagree,Moderate impact,ON,DEC
Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Very,Somewhat,Extremely,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,AB,DEC
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Extremely,Extremely,Extremely,Not at all,Female,Neither agree nor disagree,Minor impact,ON,DEC
Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Male,Neither agree nor disagree,Major impact,BC,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Female,Not working at a job or business,No impact,ON,DEC
Not at all,Very,Extremely,Very,Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly disagree,Major impact,NS,DEC
Very,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Moderate impact,SK,DEC
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Neither agree nor disagree,Too soon to tell,AB,DEC
Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Neither agree nor disagree,Moderate impact,ON,DEC
Somewhat,Very,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,BC,DEC
Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Extremely,Very,Very,Not at all,Female,Disagree,No impact,NL,DEC
Somewhat,Not at all,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Strongly disagree,No impact,NU,DEC
Somewhat,Somewhat,Extremely,Very,Extremely,Extremely,Very,Very,Extremely,Extremely,Somewhat,Not at all,Male,Strongly agree,Major impact,QC,DEC
Somewhat,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Male,Strongly disagree,Too soon to tell,ON,DEC
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,NS,DEC
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,ON,DEC
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Somewhat,Male,Strongly disagree,Too soon to tell,ON,DEC
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Not working at a job or business,No impact,ON,DEC
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,SK,DEC
Very,Very,Very,Extremely,Very,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Female,Agree,Too soon to tell,ON,DEC
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Disagree,Minor impact,ON,DEC
Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Minor impact,ON,DEC
Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Very,Extremely,Extremely,Female,Strongly disagree,Minor impact,QC,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Somewhat,Extremely,Extremely,Not at all,Male,Strongly agree,Moderate impact,ON,DEC
Very,Very,Very,Very,Very,Extremely,Very,Somewhat,Very,Very,Extremely,Not at all,Female,Strongly agree,Moderate impact,AB,DEC
Somewhat,Not at all,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,Minor impact,ON,DEC
Somewhat,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Female,Disagree,Moderate impact,ON,DEC
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,ON,DEC
Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Agree,Moderate impact,ON,DEC
Very,Not at all,Very,Extremely,Extremely,Very,Somewhat,Somewhat,Very,Extremely,Not at all,Not at all,Female,Not working at a job or business,Moderate impact,NS,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Moderate impact,ON,DEC
Somewhat,Somewhat,Extremely,Not at all,Not at all,Extremely,Somewhat,Extremely,Extremely,Very,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,ON,DEC
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Extremely,Somewhat,Not at all,Male,Neither agree nor disagree,Minor impact,AB,DEC
Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Neither agree nor disagree,Moderate impact,ON,DEC
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Very,Very,Not at all,Not at all,Male,Strongly agree,Too soon to tell,ON,DEC
Somewhat,Extremely,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Extremely,Extremely,Not at all,Male,Strongly disagree,Moderate impact,BC,DEC
Very,Not at all,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,DEC
Somewhat,Very,Extremely,Extremely,Extremely,Very,Not at all,Not at all,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,ON,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Neither agree nor disagree,Major impact,NS,DEC
Somewhat,Not at all,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,ON,DEC
Very,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,NS,DEC
Not at all,Not at all,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,BC,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly agree,Major impact,ON,DEC
Somewhat,Somewhat,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,ON,DEC
Very,Very,Extremely,Very,Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Major impact,ON,DEC
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Not at all,Not at all,Female,Disagree,Moderate impact,ON,DEC
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Extremely,Not at all,Not at all,Female,Strongly disagree,No impact,ON,DEC
Extremely,Very,Very,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,BC,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Extremely,Not at all,Female,Agree,Moderate impact,ON,DEC
Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Male,Strongly agree,Too soon to tell,QC,DEC
Somewhat,Somewhat,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Not at all,Not at all,Female,Disagree,No impact,ON,DEC
Somewhat,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Very,Not at all,Somewhat,Male,Agree,Moderate impact,QC,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Strongly agree,Major impact,ON,DEC
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Extremely,Very,Somewhat,Extremely,Not at all,Female,Strongly disagree,Too soon to tell,ON,DEC
Somewhat,Somewhat,Very,Very,Somewhat,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Male,Not working at a job or business,No impact,BC,DEC
Very,Not at all,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,ON,DEC
Not at all,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly agree,Moderate impact,AB,DEC
Not at all,Somewhat,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly agree,Major impact,AB,DEC
Very,Very,Very,Very,Very,Very,Somewhat,Very,Very,Very,Very,Not at all,Female,Strongly disagree,Moderate impact,BC,DEC
Somewhat,Not at all,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Male,Strongly disagree,Moderate impact,BC,DEC
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,SK,DEC
Extremely,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Not at all,Female,Not working at a job or business,Minor impact,ON,DEC
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Not at all,Female,Not working at a job or business,No impact,NS,DEC
Very,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Very,Not at all,Female,Strongly agree,Moderate impact,ON,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Not at all,Male,Agree,Major impact,ON,DEC
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Not working at a job or business,Moderate impact,AB,DEC
Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,BC,DEC
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,BC,DEC
Not at all,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Male,Strongly disagree,No impact,BC,DEC
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Extremely,Somewhat,Very,Somewhat,Not at all,Not at all,Female,Agree,Moderate impact,ON,DEC
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,Minor impact,ON,DEC
Very,Not at all,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Agree,Too soon to tell,ON,DEC
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,DEC
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Extremely,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Male,Disagree,No impact,BC,DEC
Somewhat,Very,Extremely,Somewhat,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Very,Extremely,Female,Strongly agree,Major impact,BC,DEC
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Not working at a job or business,No impact,NS,DEC
Not at all,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Very,Very,Not at all,Not at all,Female,Agree,Too soon to tell,ON,DEC
Very,Extremely,Extremely,Extremely,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Extremely,Not at all,Female,Strongly agree,Major impact,BC,DEC
Very,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,Moderate impact,AB,DEC
Somewhat,Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Very,Very,Not at all,Not at all,Female,Not working at a job or business,Minor impact,AB,DEC
Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Not at all,Extremely,Extremely,Extremely,Somewhat,Not at all,Male,Disagree,Minor impact,MB,DEC
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Moderate impact,ON,DEC
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,BC,DEC
Not at all,Not at all,Extremely,Very,Very,Very,Extremely,Somewhat,Somewhat,Not at all,Very,Not at all,Female,Disagree,No impact,NB,NOV
Very,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Extremely,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Agree,Major impact,ON,NOV
Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly agree,Major impact,ON,NOV
Somewhat,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Somewhat,Not at all,Male,Neither agree nor disagree,Minor impact,ON,NOV
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Extremely,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,No impact,ON,NOV
Very,Somewhat,Extremely,Very,Very,Extremely,Very,Somewhat,Extremely,Very,Very,Somewhat,Female,Not working at a job or business,Too soon to tell,ON,NOV
Very,Somewhat,Somewhat,Extremely,Somewhat,Very,Somewhat,Very,Very,Not at all,Extremely,Not at all,Female,Strongly disagree,No impact,NS,NOV
Very,Extremely,Extremely,Very,Very,Very,Very,Very,Very,Very,Very,Very,Female,Disagree,No impact,QC,NOV
Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Very,Very,Very,Very,Extremely,Very,Female,Strongly agree,Major impact,BC,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Disagree,No impact,ON,NOV
Somewhat,Somewhat,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly agree,Too soon to tell,AB,NOV
Somewhat,Somewhat,Extremely,Somewhat,Very,Extremely,Not at all,Somewhat,Somewhat,Very,Somewhat,Very,Female,Neither agree nor disagree,Minor impact,BC,NOV
Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Very,Extremely,Very,Male,Agree,No impact,ON,NOV
Extremely,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Very,Somewhat,Extremely,Not at all,Female,Not working at a job or business,Major impact,ON,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,NOV
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Extremely,Extremely,Female,Strongly disagree,Minor impact,BC,NOV
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Disagree,Too soon to tell,NL,NOV
Somewhat,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,BC,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,SK,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Disagree,Minor impact,ON,NOV
Not at all,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Extremely,Female,Strongly disagree,No impact,BC,NOV
Somewhat,Somewhat,Very,Not at all,Not at all,Extremely,Somewhat,Very,Not at all,Somewhat,Very,Not at all,Male,Strongly disagree,No impact,MB,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Not working at a job or business,No impact,BC,NOV
Very,Very,Very,Very,Somewhat,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,NS,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,NOV
Not at all,Somewhat,Somewhat,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Minor impact,ON,NOV
Very,Very,Extremely,Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,AB,NOV
Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,BC,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Not at all,Not at all,Female,Not working at a job or business,Major impact,QC,NOV
Somewhat,Very,Very,Very,Extremely,Extremely,Not at all,Somewhat,Very,Very,Somewhat,Not at all,Female,Agree,Minor impact,BC,NOV
Very,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Somewhat,Very,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,ON,NOV
Somewhat,Not at all,Extremely,Very,Very,Extremely,Extremely,Not at all,Very,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,ON,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Somewhat,Very,Very,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,ON,NOV
Very,Extremely,Extremely,Very,Extremely,Extremely,Very,Somewhat,Very,Very,Extremely,Somewhat,Male,Disagree,No impact,QC,NOV
Very,Somewhat,Extremely,Very,Very,Very,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Male,Agree,Minor impact,BC,NOV
Somewhat,Somewhat,Very,Very,Very,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly agree,Moderate impact,ON,NOV
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Very,Very,Extremely,Female,Agree,Minor impact,ON,NOV
Somewhat,Very,Very,Very,Very,Extremely,Very,Somewhat,Extremely,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,AB,NOV
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Male,Neither agree nor disagree,Minor impact,QC,NOV
Very,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,Major impact,ON,NOV
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,NS,NOV
Somewhat,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Male,Strongly agree,Minor impact,BC,NOV
Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,BC,NOV
Not at all,Not at all,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Extremely,Somewhat,Female,Agree,Major impact,ON,NOV
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Female,Strongly disagree,Moderate impact,ON,NOV
Not at all,Not at all,Very,Somewhat,Very,Very,Not at all,Not at all,Not at all,Not at all,Very,Not at all,Male,Strongly disagree,No impact,ON,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Somewhat,Very,Very,Very,Not at all,Female,Strongly agree,Moderate impact,AB,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Male,Neither agree nor disagree,Moderate impact,BC,NOV
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Female,Agree,Moderate impact,AB,NOV
Very,Very,Extremely,Very,Very,Extremely,Extremely,Very,Somewhat,Extremely,Very,Not at all,Female,Strongly disagree,No impact,ON,NOV
Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Male,Strongly agree,Minor impact,ON,NOV
Very,Extremely,Extremely,Extremely,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,AB,NOV
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Extremely,Not at all,Very,Very,Not at all,Somewhat,Not at all,Male,Strongly disagree,Minor impact,BC,NOV
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Not at all,Very,Somewhat,Somewhat,Not at all,Male,Agree,Moderate impact,NS,NOV
Very,Very,Very,Very,Very,Somewhat,Not at all,Somewhat,Very,Somewhat,Somewhat,Somewhat,Female,Not working at a job or business,Too soon to tell,QC,NOV
Very,Very,Very,Somewhat,Somewhat,Extremely,Very,Not at all,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,NS,NOV
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Moderate impact,ON,NOV
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Male,Neither agree nor disagree,Moderate impact,MB,NOV
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Extremely,Extremely,Not at all,Not at all,Male,Strongly disagree,No impact,ON,NOV
Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,BC,NOV
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Not at all,Female,Strongly agree,Minor impact,ON,NOV
Somewhat,Very,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly agree,Moderate impact,AB,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Very,Somewhat,Very,Very,Not at all,Female,Agree,Major impact,ON,NOV
Not at all,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,ON,NOV
Extremely,Extremely,Very,Very,Very,Extremely,Extremely,Extremely,Somewhat,Not at all,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,NOV
Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,Agree,Moderate impact,ON,NOV
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Somewhat,Very,Very,Very,Female,Strongly agree,Moderate impact,AB,NOV
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,NOV
Somewhat,Very,Extremely,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,Moderate impact,AB,NOV
Somewhat,Very,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Male,Strongly agree,Minor impact,ON,NOV
Somewhat,Very,Extremely,Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Male,Strongly agree,Moderate impact,QC,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Not at all,Not at all,Very,Extremely,Somewhat,Not at all,Male,Agree,Moderate impact,SK,NOV
Somewhat,Somewhat,Very,Very,Very,Very,Extremely,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Major impact,ON,NOV
Somewhat,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Extremely,Not at all,Male,Strongly agree,Moderate impact,BC,NOV
Extremely,Not at all,Extremely,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Female,Not working at a job or business,No impact,ON,NOV
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,BC,NOV
Somewhat,Somewhat,Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Male,Strongly disagree,Moderate impact,AB,NOV
Not at all,Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,MB,NOV
Very,Not at all,Very,Very,Very,Extremely,Not at all,Somewhat,Very,Very,Not at all,Very,Female,Agree,No impact,ON,NOV
Somewhat,Somewhat,Extremely,Very,Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Male,Agree,Major impact,ON,NOV
Extremely,Extremely,Extremely,Very,Very,Very,Not at all,Somewhat,Extremely,Somewhat,Very,Not at all,Male,Not working at a job or business,No impact,ON,NOV
Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Very,Not at all,Female,Strongly disagree,Minor impact,NL,NOV
