"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Very,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,Too soon to tell,AB,MAR
Not at all,Somewhat,Extremely,Extremely,Extremely,Very,Not at all,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Minor impact,BC,MAR
Somewhat,Very,Extremely,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,QC,MAR
Somewhat,Extremely,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,BC,MAR
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Not at all,Female,Not working at a job or business,Too soon to tell,BC,MAR
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,MAR
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Moderate impact,ON,MAR
Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,MAR
Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Extremely,Very,Not at all,Male,Strongly disagree,Minor impact,QC,MAR
Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Disagree,Minor impact,NS,MAR
Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Disagree,No impact,QC,MAR
Very,Somewhat,Very,Somewhat,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Female,Strongly disagree,Too soon to tell,QC,MAR
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Strongly agree,Major impact,NL,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Extremely,Not at all,Somewhat,Female,Disagree,Minor impact,NS,MAR
Very,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,MB,MAR
Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Strongly agree,Moderate impact,NB,MAR
Somewhat,Not at all,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,Major impact,ON,MAR
